card,date,real_users
Intel Iris Plus Graphics 640,2018-08-01,22492
Intel Iris Plus Graphics 640,2018-09-01,27048
Intel Iris Plus Graphics 640,2018-10-01,24252
Intel Iris Plus Graphics 640,2018-11-01,30442
Intel Iris Plus Graphics 640,2018-12-01,36017
Intel Iris Plus Graphics 640,2019-01-01,36956
Intel Iris Plus Graphics 640,2019-02-01,33933
Intel Iris Plus Graphics 640,2019-03-01,36333
Intel Iris Plus Graphics 640,2019-04-01,34084
Intel Iris Plus Graphics 640,2019-05-01,41403
Intel Iris Plus Graphics 640,2019-06-01,33833
Intel Iris Plus Graphics 640,2019-07-01,35382
Intel Iris Plus Graphics 640,2019-08-01,36587
Intel Iris Plus Graphics 640,2019-09-01,45068
Intel Iris Plus Graphics 640,2019-10-01,41410
Intel Iris Plus Graphics 640,2019-11-01,42616
Intel Iris Plus Graphics 640,2019-12-01,51466
Intel Iris Plus Graphics 640,2020-01-01,50585
Intel Iris Plus Graphics 640,2020-02-01,60157
Intel Iris Plus Graphics 640,2020-03-01,76955
Intel Iris Plus Graphics 640,2020-04-01,104819
Intel Iris Plus Graphics 640,2020-05-01,103467
Intel Iris Plus Graphics 640,2020-06-01,80048
Intel Iris Plus Graphics 640,2020-07-01,72378
Intel Iris Plus Graphics 640,2020-08-01,74078
Intel Iris Plus Graphics 640,2020-09-01,85883
Intel Iris Plus Graphics 640,2020-10-01,93996
Intel Iris Plus Graphics 640,2020-11-01,95174
Intel Iris Plus Graphics 640,2020-12-01,80250
Intel Iris Plus Graphics 640,2021-01-01,101649
Intel Iris Plus Graphics 640,2021-02-01,88479
Intel Iris Plus Graphics 640,2021-03-01,84119
Intel Iris Plus Graphics 640,2021-04-01,80613
Intel Iris Plus Graphics 640,2021-05-01,78841
Intel Iris Plus Graphics 640,2021-06-01,65211
Intel Iris Plus Graphics 640,2021-07-01,63488
Intel Iris Plus Graphics 640,2021-08-01,59820
Intel Iris Plus Graphics 640,2021-09-01,56987
Intel Iris Plus Graphics 640,2021-10-01,56010
Intel Iris Plus Graphics 640,2021-11-01,55779
