card,date,real_users
Intel Ironlake (Mobile),2013-07-01,82448
Intel Ironlake (Mobile),2013-09-01,89622
Intel Ironlake (Mobile),2013-12-01,100662
Intel Ironlake (Mobile),2014-01-01,99087
Intel Ironlake (Mobile),2014-04-01,74985
Intel Ironlake (Mobile),2014-05-01,73469
Intel Ironlake (Mobile),2014-06-01,84999
Intel Ironlake (Mobile),2014-07-01,88027
Intel Ironlake (Mobile),2014-08-01,73596
Intel Ironlake (Mobile),2014-09-01,75414
Intel Ironlake (Mobile),2014-10-01,68307
Intel Ironlake (Mobile),2014-11-01,78943
Intel Ironlake (Mobile),2014-12-01,81881
Intel Ironlake (Mobile),2015-01-01,82127
Intel Ironlake (Mobile),2015-05-01,69603
Intel Ironlake (Mobile),2015-06-01,75068
Intel Ironlake (Mobile),2015-09-01,73273
Intel Ironlake (Mobile),2015-11-01,103751
Intel Ironlake (Mobile),2016-01-01,86644
Intel Ironlake (Mobile),2016-02-01,78298
Intel Ironlake (Mobile),2016-03-01,76921
Intel Ironlake (Mobile),2016-04-01,76898
Intel Ironlake (Mobile),2016-05-01,83017
