card,date,real_users
Intel Ironlake Arrandale,2016-06-01,77425
Intel Ironlake Arrandale,2016-07-01,79891
Intel Ironlake Arrandale,2016-08-01,70684
Intel Ironlake Arrandale,2016-10-01,73929
Intel Ironlake Arrandale,2016-11-01,72164
Intel Ironlake Arrandale,2016-12-01,69134
Intel Ironlake Arrandale,2017-08-01,37147
Intel Ironlake Arrandale,2017-10-01,29068
Intel Ironlake Arrandale,2017-11-01,22432
Intel Ironlake Arrandale,2018-04-01,34401
Intel Ironlake Arrandale,2018-05-01,34113
Intel Ironlake Arrandale,2018-06-01,32422
Intel Ironlake Arrandale,2018-07-01,31080
Intel Ironlake Arrandale,2018-08-01,28115
Intel Ironlake Arrandale,2018-09-01,27048
Intel Ironlake Arrandale,2018-10-01,24252
Intel Ironlake Arrandale,2018-11-01,27543
Intel Ironlake Arrandale,2018-12-01,32743
Intel Ironlake Arrandale,2019-01-01,28922
Intel Ironlake Arrandale,2019-02-01,26221
Intel Ironlake Arrandale,2019-03-01,25735
Intel Ironlake Arrandale,2019-04-01,22228
Intel Ironlake Arrandale,2019-05-01,23886
