card,date,real_users
Intel UHD Graphics 630,2018-11-01,28993
Intel UHD Graphics 630,2018-12-01,34380
Intel UHD Graphics 630,2019-01-01,40169
Intel UHD Graphics 630,2019-02-01,46273
Intel UHD Graphics 630,2019-03-01,48444
Intel UHD Graphics 630,2019-04-01,51867
Intel UHD Graphics 630,2019-05-01,57328
Intel UHD Graphics 630,2019-06-01,54777
Intel UHD Graphics 630,2019-07-01,56919
Intel UHD Graphics 630,2019-08-01,58539
Intel UHD Graphics 630,2019-09-01,75650
Intel UHD Graphics 630,2019-10-01,67112
Intel UHD Graphics 630,2019-11-01,74578
Intel UHD Graphics 630,2019-12-01,84061
Intel UHD Graphics 630,2020-01-01,92740
Intel UHD Graphics 630,2020-02-01,111199
Intel UHD Graphics 630,2020-03-01,126976
Intel UHD Graphics 630,2020-04-01,157228
Intel UHD Graphics 630,2020-05-01,159904
Intel UHD Graphics 630,2020-06-01,142789
Intel UHD Graphics 630,2020-07-01,136485
Intel UHD Graphics 630,2020-08-01,132960
Intel UHD Graphics 630,2020-09-01,145184
Intel UHD Graphics 630,2020-10-01,143131
Intel UHD Graphics 630,2020-11-01,150885
Intel UHD Graphics 630,2020-12-01,129817
Intel UHD Graphics 630,2021-01-01,154894
Intel UHD Graphics 630,2021-02-01,152380
Intel UHD Graphics 630,2021-03-01,150396
Intel UHD Graphics 630,2021-04-01,146112
Intel UHD Graphics 630,2021-05-01,133044
Intel UHD Graphics 630,2021-06-01,125592
Intel UHD Graphics 630,2021-07-01,129419
Intel UHD Graphics 630,2021-08-01,117247
Intel UHD Graphics 630,2021-09-01,121097
Intel UHD Graphics 630,2021-10-01,124197
Intel UHD Graphics 630,2021-11-01,121700
Intel UHD Graphics 630,2021-12-01,97432
Intel UHD Graphics 630,2022-01-01,102818
Intel UHD Graphics 630,2022-02-01,93350
Intel UHD Graphics 630,2022-03-01,90981
Intel UHD Graphics 630,2022-04-01,95195
Intel UHD Graphics 630,2022-05-01,89998
Intel UHD Graphics 630,2022-06-01,89867
Intel UHD Graphics 630,2022-07-01,72559
Intel UHD Graphics 630,2022-08-01,87591
Intel UHD Graphics 630,2022-09-01,76885
Intel UHD Graphics 630,2022-10-01,76478
Intel UHD Graphics 630,2022-11-01,84828
Intel UHD Graphics 630,2022-12-01,83638
Intel UHD Graphics 630,2023-01-01,92474
Intel UHD Graphics 630,2023-02-01,77930
