card,date,real_users
NVIDIA GeForce 610M,2014-09-01,33125
NVIDIA GeForce 610M,2014-10-01,30287
NVIDIA GeForce 610M,2014-11-01,35676
NVIDIA GeForce 610M,2014-12-01,34978
NVIDIA GeForce 610M,2015-01-01,36407
NVIDIA GeForce 610M,2015-05-01,34382
NVIDIA GeForce 610M,2015-06-01,34042
NVIDIA GeForce 610M,2015-09-01,35720
NVIDIA GeForce 610M,2015-11-01,53897
NVIDIA GeForce 610M,2016-01-01,45663
NVIDIA GeForce 610M,2016-02-01,42504
NVIDIA GeForce 610M,2016-03-01,42856
NVIDIA GeForce 610M,2016-04-01,41841
NVIDIA GeForce 610M,2016-05-01,44606
NVIDIA GeForce 610M,2016-06-01,39818
NVIDIA GeForce 610M,2016-07-01,35893
NVIDIA GeForce 610M,2016-08-01,33133
NVIDIA GeForce 610M,2016-10-01,31510
NVIDIA GeForce 610M,2016-11-01,30758
NVIDIA GeForce 610M,2016-12-01,30991
NVIDIA GeForce 610M,2017-08-01,21050
