card,date,real_users
NVIDIA GeForce 8400,2008-11-01,18103
NVIDIA GeForce 8400,2009-01-01,23249
NVIDIA GeForce 8400,2009-02-01,27383
NVIDIA GeForce 8400,2009-03-01,27549
NVIDIA GeForce 8400,2009-04-01,28487
NVIDIA GeForce 8400,2009-05-01,25514
NVIDIA GeForce 8400,2009-06-01,28926
NVIDIA GeForce 8400,2009-07-01,25553
NVIDIA GeForce 8400,2009-08-01,21890
NVIDIA GeForce 8400,2009-09-01,24708
NVIDIA GeForce 8400,2009-10-01,21454
NVIDIA GeForce 8400,2009-11-01,24152
NVIDIA GeForce 8400,2009-12-01,27651
NVIDIA GeForce 8400,2010-01-01,30783
NVIDIA GeForce 8400,2010-02-01,30695
NVIDIA GeForce 8400,2010-03-01,29226
NVIDIA GeForce 8400,2010-05-01,24117
NVIDIA GeForce 8400,2010-06-01,25809
NVIDIA GeForce 8400,2010-07-01,24075
NVIDIA GeForce 8400,2010-08-01,26593
NVIDIA GeForce 8400,2010-11-01,24138
NVIDIA GeForce 8400,2011-01-01,27124
NVIDIA GeForce 8400,2011-04-01,21564
NVIDIA GeForce 8400,2011-06-01,19096
NVIDIA GeForce 8400,2011-08-01,22153
NVIDIA GeForce 8400,2011-10-01,36437
NVIDIA GeForce 8400,2011-11-01,36562
NVIDIA GeForce 8400,2011-12-01,36816
NVIDIA GeForce 8400,2012-03-01,34676
NVIDIA GeForce 8400,2012-04-01,42386
NVIDIA GeForce 8400,2012-05-01,41535
NVIDIA GeForce 8400,2012-07-01,36862
NVIDIA GeForce 8400,2012-08-01,32593
NVIDIA GeForce 8400,2012-10-01,37123
NVIDIA GeForce 8400,2012-12-01,35680
NVIDIA GeForce 8400,2013-02-01,35115
NVIDIA GeForce 8400,2013-03-01,27493
NVIDIA GeForce 8400,2013-06-01,26551
NVIDIA GeForce 8400,2013-07-01,27826
NVIDIA GeForce 8400,2013-09-01,32363
NVIDIA GeForce 8400,2014-09-01,26782
NVIDIA GeForce 8400,2014-10-01,23843
NVIDIA GeForce 8400,2014-11-01,27326
NVIDIA GeForce 8400,2014-12-01,27823
NVIDIA GeForce 8400,2015-01-01,27940
NVIDIA GeForce 8400,2015-05-01,25157
NVIDIA GeForce 8400,2015-06-01,26186
NVIDIA GeForce 8400,2015-09-01,23813
NVIDIA GeForce 8400,2015-11-01,33685
NVIDIA GeForce 8400,2016-01-01,30442
NVIDIA GeForce 8400,2016-02-01,27963
NVIDIA GeForce 8400,2016-03-01,25274
NVIDIA GeForce 8400,2016-04-01,26009
NVIDIA GeForce 8400,2016-05-01,28498
