card,date,real_users
NVIDIA GeForce 940MX,2017-08-01,27241
NVIDIA GeForce 940MX,2018-03-01,23846
NVIDIA GeForce 940MX,2018-04-01,44721
NVIDIA GeForce 940MX,2018-05-01,45484
NVIDIA GeForce 940MX,2018-06-01,41686
NVIDIA GeForce 940MX,2018-07-01,40895
NVIDIA GeForce 940MX,2018-08-01,37955
NVIDIA GeForce 940MX,2018-09-01,41368
NVIDIA GeForce 940MX,2018-10-01,34239
NVIDIA GeForce 940MX,2018-11-01,39140
NVIDIA GeForce 940MX,2018-12-01,44203
NVIDIA GeForce 940MX,2019-01-01,41776
NVIDIA GeForce 940MX,2019-02-01,38560
NVIDIA GeForce 940MX,2019-03-01,37846
NVIDIA GeForce 940MX,2019-04-01,35566
NVIDIA GeForce 940MX,2019-05-01,36626
NVIDIA GeForce 940MX,2019-06-01,35444
NVIDIA GeForce 940MX,2019-07-01,33844
NVIDIA GeForce 940MX,2019-08-01,32196
NVIDIA GeForce 940MX,2019-09-01,35411
NVIDIA GeForce 940MX,2019-10-01,29986
NVIDIA GeForce 940MX,2019-11-01,31962
NVIDIA GeForce 940MX,2019-12-01,34310
NVIDIA GeForce 940MX,2020-01-01,33723
NVIDIA GeForce 940MX,2020-02-01,36458
NVIDIA GeForce 940MX,2020-03-01,40401
NVIDIA GeForce 940MX,2020-04-01,52409
NVIDIA GeForce 940MX,2020-05-01,51733
NVIDIA GeForce 940MX,2020-06-01,41106
NVIDIA GeForce 940MX,2020-07-01,37223
NVIDIA GeForce 940MX,2020-08-01,32290
NVIDIA GeForce 940MX,2020-09-01,36807
NVIDIA GeForce 940MX,2020-10-01,34180
NVIDIA GeForce 940MX,2020-11-01,37141
NVIDIA GeForce 940MX,2021-01-01,38723
