card,date,real_users
NVIDIA GeForce FX 5200,2008-11-01,28465
NVIDIA GeForce FX 5200,2009-01-01,27599
NVIDIA GeForce FX 5200,2009-02-01,27893
NVIDIA GeForce FX 5200,2009-03-01,27366
NVIDIA GeForce FX 5200,2009-04-01,27775
NVIDIA GeForce FX 5200,2009-05-01,22769
NVIDIA GeForce FX 5200,2009-06-01,23321
NVIDIA GeForce FX 5200,2009-07-01,23031
NVIDIA GeForce FX 5200,2009-08-01,19561
NVIDIA GeForce FX 5200,2009-09-01,20853
NVIDIA GeForce FX 5200,2009-10-01,17510
NVIDIA GeForce FX 5200,2009-11-01,15513
NVIDIA GeForce FX 5200,2009-12-01,17097
NVIDIA GeForce FX 5200,2010-01-01,21644
NVIDIA GeForce FX 5200,2010-02-01,18171
NVIDIA GeForce FX 5200,2010-03-01,16769
NVIDIA GeForce FX 5200,2010-05-01,13398
NVIDIA GeForce FX 5200,2010-06-01,13496
NVIDIA GeForce FX 5200,2010-07-01,12154
NVIDIA GeForce FX 5200,2010-08-01,12256
