card,date,real_users
NVIDIA GeForce GTS 250,2012-05-01,93948
NVIDIA GeForce GTS 250,2012-07-01,81658
NVIDIA GeForce GTS 250,2012-08-01,71619
NVIDIA GeForce GTS 250,2012-10-01,83393
NVIDIA GeForce GTS 250,2012-12-01,85299
NVIDIA GeForce GTS 250,2013-02-01,85522
NVIDIA GeForce GTS 250,2013-03-01,65415
NVIDIA GeForce GTS 250,2013-06-01,67910
NVIDIA GeForce GTS 250,2013-07-01,62351
NVIDIA GeForce GTS 250,2013-09-01,72195
NVIDIA GeForce GTS 250,2013-12-01,74778
NVIDIA GeForce GTS 250,2014-01-01,76983
NVIDIA GeForce GTS 250,2014-04-01,58602
NVIDIA GeForce GTS 250,2014-05-01,55259
NVIDIA GeForce GTS 250,2014-06-01,59710
NVIDIA GeForce GTS 250,2014-07-01,57253
NVIDIA GeForce GTS 250,2014-08-01,50121
NVIDIA GeForce GTS 250,2014-09-01,54269
NVIDIA GeForce GTS 250,2014-10-01,48330
NVIDIA GeForce GTS 250,2014-11-01,55412
NVIDIA GeForce GTS 250,2014-12-01,55647
NVIDIA GeForce GTS 250,2015-01-01,57573
NVIDIA GeForce GTS 250,2015-05-01,51154
NVIDIA GeForce GTS 250,2015-06-01,51500
NVIDIA GeForce GTS 250,2015-09-01,49459
NVIDIA GeForce GTS 250,2015-11-01,67371
NVIDIA GeForce GTS 250,2016-01-01,55030
NVIDIA GeForce GTS 250,2016-02-01,50334
NVIDIA GeForce GTS 250,2016-03-01,47252
NVIDIA GeForce GTS 250,2016-04-01,49757
NVIDIA GeForce GTS 250,2016-05-01,52041
NVIDIA GeForce GTS 250,2016-06-01,47561
NVIDIA GeForce GTS 250,2016-07-01,46313
NVIDIA GeForce GTS 250,2016-08-01,39760
NVIDIA GeForce GTS 250,2016-10-01,42418
NVIDIA GeForce GTS 250,2016-11-01,39039
NVIDIA GeForce GTS 250,2016-12-01,38143
NVIDIA GeForce GTS 250,2017-08-01,26003
