card,date,real_users
NVIDIA GeForce GTX 1080 Ti,2017-08-01,66866
NVIDIA GeForce GTX 1080 Ti,2017-10-01,61366
NVIDIA GeForce GTX 1080 Ti,2017-11-01,50847
NVIDIA GeForce GTX 1080 Ti,2017-12-01,61261
NVIDIA GeForce GTX 1080 Ti,2018-01-01,65903
NVIDIA GeForce GTX 1080 Ti,2018-02-01,73956
NVIDIA GeForce GTX 1080 Ti,2018-03-01,117644
NVIDIA GeForce GTX 1080 Ti,2018-04-01,194366
NVIDIA GeForce GTX 1080 Ti,2018-05-01,190059
NVIDIA GeForce GTX 1080 Ti,2018-06-01,189905
NVIDIA GeForce GTX 1080 Ti,2018-07-01,194663
NVIDIA GeForce GTX 1080 Ti,2018-08-01,203835
NVIDIA GeForce GTX 1080 Ti,2018-09-01,237073
NVIDIA GeForce GTX 1080 Ti,2018-10-01,212567
NVIDIA GeForce GTX 1080 Ti,2018-11-01,236293
NVIDIA GeForce GTX 1080 Ti,2018-12-01,265222
NVIDIA GeForce GTX 1080 Ti,2019-01-01,255480
NVIDIA GeForce GTX 1080 Ti,2019-02-01,242162
NVIDIA GeForce GTX 1080 Ti,2019-03-01,249789
NVIDIA GeForce GTX 1080 Ti,2019-04-01,240071
NVIDIA GeForce GTX 1080 Ti,2019-05-01,265938
NVIDIA GeForce GTX 1080 Ti,2019-06-01,275497
NVIDIA GeForce GTX 1080 Ti,2019-07-01,238447
NVIDIA GeForce GTX 1080 Ti,2019-08-01,245865
NVIDIA GeForce GTX 1080 Ti,2019-09-01,268801
NVIDIA GeForce GTX 1080 Ti,2019-10-01,222757
NVIDIA GeForce GTX 1080 Ti,2019-11-01,243522
NVIDIA GeForce GTX 1080 Ti,2019-12-01,262477
NVIDIA GeForce GTX 1080 Ti,2020-01-01,281594
NVIDIA GeForce GTX 1080 Ti,2020-02-01,278910
NVIDIA GeForce GTX 1080 Ti,2020-03-01,292429
NVIDIA GeForce GTX 1080 Ti,2020-04-01,371631
NVIDIA GeForce GTX 1080 Ti,2020-05-01,359785
NVIDIA GeForce GTX 1080 Ti,2020-06-01,328848
NVIDIA GeForce GTX 1080 Ti,2020-07-01,314330
NVIDIA GeForce GTX 1080 Ti,2020-08-01,284915
NVIDIA GeForce GTX 1080 Ti,2020-09-01,312862
NVIDIA GeForce GTX 1080 Ti,2020-10-01,305489
NVIDIA GeForce GTX 1080 Ti,2020-11-01,320342
NVIDIA GeForce GTX 1080 Ti,2020-12-01,287958
NVIDIA GeForce GTX 1080 Ti,2021-01-01,312209
NVIDIA GeForce GTX 1080 Ti,2021-02-01,309677
NVIDIA GeForce GTX 1080 Ti,2021-03-01,318635
NVIDIA GeForce GTX 1080 Ti,2021-04-01,312378
NVIDIA GeForce GTX 1080 Ti,2021-05-01,295655
NVIDIA GeForce GTX 1080 Ti,2021-06-01,248768
NVIDIA GeForce GTX 1080 Ti,2021-07-01,241745
NVIDIA GeForce GTX 1080 Ti,2021-08-01,208174
NVIDIA GeForce GTX 1080 Ti,2021-09-01,230322
NVIDIA GeForce GTX 1080 Ti,2021-10-01,233783
NVIDIA GeForce GTX 1080 Ti,2021-11-01,238329
NVIDIA GeForce GTX 1080 Ti,2021-12-01,222345
NVIDIA GeForce GTX 1080 Ti,2022-01-01,224092
NVIDIA GeForce GTX 1080 Ti,2022-02-01,218705
NVIDIA GeForce GTX 1080 Ti,2022-03-01,224778
NVIDIA GeForce GTX 1080 Ti,2022-04-01,217588
NVIDIA GeForce GTX 1080 Ti,2022-05-01,247496
NVIDIA GeForce GTX 1080 Ti,2022-06-01,195141
NVIDIA GeForce GTX 1080 Ti,2022-07-01,244551
NVIDIA GeForce GTX 1080 Ti,2022-08-01,190641
NVIDIA GeForce GTX 1080 Ti,2022-09-01,181962
NVIDIA GeForce GTX 1080 Ti,2022-10-01,192612
NVIDIA GeForce GTX 1080 Ti,2022-11-01,197932
NVIDIA GeForce GTX 1080 Ti,2022-12-01,186792
NVIDIA GeForce GTX 1080 Ti,2023-01-01,206527
NVIDIA GeForce GTX 1080 Ti,2023-02-01,181837
