card,date,real_users
NVIDIA GeForce GTX 260,2008-11-01,8489
NVIDIA GeForce GTX 260,2009-01-01,17699
NVIDIA GeForce GTX 260,2009-02-01,23981
NVIDIA GeForce GTX 260,2009-03-01,28461
NVIDIA GeForce GTX 260,2009-04-01,31514
NVIDIA GeForce GTX 260,2009-05-01,32458
NVIDIA GeForce GTX 260,2009-06-01,38146
NVIDIA GeForce GTX 260,2009-07-01,40683
NVIDIA GeForce GTX 260,2009-08-01,42384
NVIDIA GeForce GTX 260,2009-09-01,50468
NVIDIA GeForce GTX 260,2009-10-01,49377
NVIDIA GeForce GTX 260,2009-11-01,60115
NVIDIA GeForce GTX 260,2009-12-01,83166
NVIDIA GeForce GTX 260,2010-01-01,83212
NVIDIA GeForce GTX 260,2010-02-01,96260
NVIDIA GeForce GTX 260,2010-03-01,94147
NVIDIA GeForce GTX 260,2010-05-01,77488
NVIDIA GeForce GTX 260,2010-06-01,92108
NVIDIA GeForce GTX 260,2010-07-01,92561
NVIDIA GeForce GTX 260,2010-08-01,78625
NVIDIA GeForce GTX 260,2010-11-01,117852
NVIDIA GeForce GTX 260,2011-01-01,129165
NVIDIA GeForce GTX 260,2011-04-01,133820
NVIDIA GeForce GTX 260,2011-06-01,132461
NVIDIA GeForce GTX 260,2011-08-01,147337
NVIDIA GeForce GTX 260,2011-10-01,149547
NVIDIA GeForce GTX 260,2011-11-01,178509
NVIDIA GeForce GTX 260,2011-12-01,168846
NVIDIA GeForce GTX 260,2012-02-01,159409
NVIDIA GeForce GTX 260,2012-03-01,77254
NVIDIA GeForce GTX 260,2012-04-01,70310
NVIDIA GeForce GTX 260,2012-05-01,66258
NVIDIA GeForce GTX 260,2012-07-01,54127
NVIDIA GeForce GTX 260,2012-08-01,51034
NVIDIA GeForce GTX 260,2012-10-01,57568
NVIDIA GeForce GTX 260,2012-12-01,56308
NVIDIA GeForce GTX 260,2013-02-01,52106
NVIDIA GeForce GTX 260,2013-03-01,41713
NVIDIA GeForce GTX 260,2013-06-01,40337
NVIDIA GeForce GTX 260,2013-07-01,37617
NVIDIA GeForce GTX 260,2013-09-01,40454
NVIDIA GeForce GTX 260,2013-12-01,40265
NVIDIA GeForce GTX 260,2014-01-01,40397
NVIDIA GeForce GTX 260,2014-09-01,23963
NVIDIA GeForce GTX 260,2014-10-01,20621
NVIDIA GeForce GTX 260,2014-11-01,23531
NVIDIA GeForce GTX 260,2014-12-01,23054
NVIDIA GeForce GTX 260,2015-01-01,22860
NVIDIA GeForce GTX 260,2015-05-01,19287
NVIDIA GeForce GTX 260,2015-06-01,18330
NVIDIA GeForce GTX 260,2015-09-01,16486
NVIDIA GeForce GTX 260,2015-11-01,22906
NVIDIA GeForce GTX 260,2016-01-01,17562
