card,date,real_users
NVIDIA GeForce GT 635M,2014-09-01,26782
NVIDIA GeForce GT 635M,2014-10-01,22554
NVIDIA GeForce GT 635M,2014-11-01,25808
NVIDIA GeForce GT 635M,2014-12-01,25438
NVIDIA GeForce GT 635M,2015-01-01,27093
NVIDIA GeForce GT 635M,2015-05-01,22642
NVIDIA GeForce GT 635M,2015-06-01,24440
NVIDIA GeForce GT 635M,2015-09-01,25645
NVIDIA GeForce GT 635M,2015-11-01,37727
NVIDIA GeForce GT 635M,2016-01-01,31613
NVIDIA GeForce GT 635M,2016-02-01,29082
NVIDIA GeForce GT 635M,2016-03-01,28571
NVIDIA GeForce GT 635M,2016-04-01,29402
NVIDIA GeForce GT 635M,2016-05-01,30976
NVIDIA GeForce GT 635M,2016-06-01,27652
NVIDIA GeForce GT 635M,2016-07-01,27788
NVIDIA GeForce GT 635M,2016-08-01,25402
NVIDIA GeForce GT 635M,2016-10-01,24239
NVIDIA GeForce GT 635M,2016-11-01,24843
NVIDIA GeForce GT 635M,2016-12-01,23839
