card,date,real_users
NVIDIA GeForce GT 740,2015-05-01,18449
NVIDIA GeForce GT 740,2015-06-01,20949
NVIDIA GeForce GT 740,2015-09-01,28393
NVIDIA GeForce GT 740,2015-11-01,43117
NVIDIA GeForce GT 740,2016-01-01,48005
NVIDIA GeForce GT 740,2016-02-01,51453
NVIDIA GeForce GT 740,2016-03-01,47252
NVIDIA GeForce GT 740,2016-04-01,47495
NVIDIA GeForce GT 740,2016-05-01,58236
NVIDIA GeForce GT 740,2016-06-01,48667
NVIDIA GeForce GT 740,2016-07-01,55576
NVIDIA GeForce GT 740,2016-08-01,48595
NVIDIA GeForce GT 740,2016-10-01,50901
NVIDIA GeForce GT 740,2016-11-01,47320
NVIDIA GeForce GT 740,2016-12-01,50062
NVIDIA GeForce GT 740,2017-08-01,45815
NVIDIA GeForce GT 740,2017-10-01,40372
NVIDIA GeForce GT 740,2017-11-01,32901
NVIDIA GeForce GT 740,2017-12-01,31416
NVIDIA GeForce GT 740,2018-01-01,30416
NVIDIA GeForce GT 740,2018-02-01,34618
NVIDIA GeForce GT 740,2018-03-01,33385
NVIDIA GeForce GT 740,2018-04-01,46441
NVIDIA GeForce GT 740,2018-05-01,40610
NVIDIA GeForce GT 740,2018-06-01,40142
NVIDIA GeForce GT 740,2018-07-01,45803
NVIDIA GeForce GT 740,2018-08-01,40767
NVIDIA GeForce GT 740,2018-09-01,36595
NVIDIA GeForce GT 740,2018-10-01,32812
NVIDIA GeForce GT 740,2018-11-01,33342
NVIDIA GeForce GT 740,2018-12-01,34380
NVIDIA GeForce GT 740,2019-01-01,35349
NVIDIA GeForce GT 740,2019-02-01,33933
NVIDIA GeForce GT 740,2019-03-01,31791
NVIDIA GeForce GT 740,2019-04-01,29638
NVIDIA GeForce GT 740,2019-05-01,31848
NVIDIA GeForce GT 740,2019-06-01,30610
NVIDIA GeForce GT 740,2019-07-01,36920
NVIDIA GeForce GT 740,2019-08-01,26342
NVIDIA GeForce GT 740,2019-09-01,27363
NVIDIA GeForce GT 740,2019-10-01,25702
NVIDIA GeForce GT 740,2019-11-01,24352
NVIDIA GeForce GT 740,2020-01-01,26979
NVIDIA GeForce GT 740,2020-02-01,30990
