card,date,real_users
NVIDIA GeForce MX110,2019-12-01,25733
NVIDIA GeForce MX110,2020-01-01,30351
NVIDIA GeForce MX110,2020-02-01,34635
NVIDIA GeForce MX110,2020-03-01,44249
NVIDIA GeForce MX110,2020-04-01,61938
NVIDIA GeForce MX110,2020-05-01,63491
NVIDIA GeForce MX110,2020-06-01,56250
NVIDIA GeForce MX110,2020-07-01,51699
NVIDIA GeForce MX110,2020-08-01,49385
NVIDIA GeForce MX110,2020-09-01,53166
NVIDIA GeForce MX110,2020-10-01,57679
NVIDIA GeForce MX110,2020-11-01,62675
NVIDIA GeForce MX110,2020-12-01,54287
NVIDIA GeForce MX110,2021-01-01,67766
NVIDIA GeForce MX110,2021-02-01,68817
NVIDIA GeForce MX110,2021-03-01,71374
NVIDIA GeForce MX110,2021-04-01,70537
NVIDIA GeForce MX110,2021-05-01,68986
NVIDIA GeForce MX110,2021-06-01,65211
NVIDIA GeForce MX110,2021-07-01,68372
NVIDIA GeForce MX110,2021-08-01,57427
NVIDIA GeForce MX110,2021-09-01,56987
NVIDIA GeForce MX110,2021-10-01,58445
NVIDIA GeForce MX110,2021-11-01,60850
NVIDIA GeForce MX110,2021-12-01,59958
NVIDIA GeForce MX110,2022-01-01,65909
NVIDIA GeForce MX110,2022-02-01,61344
NVIDIA GeForce MX110,2022-03-01,56194
NVIDIA GeForce MX110,2022-04-01,62556
NVIDIA GeForce MX110,2022-05-01,56249
NVIDIA GeForce MX110,2022-06-01,56488
NVIDIA GeForce MX110,2022-07-01,51060
NVIDIA GeForce MX110,2022-08-01,51524
NVIDIA GeForce MX110,2022-09-01,48694
NVIDIA GeForce MX110,2022-10-01,48153
NVIDIA GeForce MX110,2022-11-01,53724
NVIDIA GeForce MX110,2022-12-01,55758
NVIDIA GeForce MX110,2023-01-01,58567
NVIDIA GeForce MX110,2023-02-01,51953
