card,date,real_users
NVIDIA GeForce RTX 3050,2021-09-01,45114
NVIDIA GeForce RTX 3050,2021-10-01,68186
NVIDIA GeForce RTX 3050,2021-11-01,103952
NVIDIA GeForce RTX 3050,2021-12-01,104927
NVIDIA GeForce RTX 3050,2022-01-01,147637
NVIDIA GeForce RTX 3050,2022-02-01,200035
NVIDIA GeForce RTX 3050,2022-03-01,230130
NVIDIA GeForce RTX 3050,2022-04-01,296464
NVIDIA GeForce RTX 3050,2022-05-01,314996
NVIDIA GeForce RTX 3050,2022-06-01,331226
NVIDIA GeForce RTX 3050,2022-07-01,360108
NVIDIA GeForce RTX 3050,2022-08-01,401892
NVIDIA GeForce RTX 3050,2022-09-01,479254
NVIDIA GeForce RTX 3050,2022-10-01,498527
NVIDIA GeForce RTX 3050,2022-11-01,613592
NVIDIA GeForce RTX 3050,2022-12-01,588256
NVIDIA GeForce RTX 3050,2023-01-01,715139
NVIDIA GeForce RTX 3050,2023-02-01,724465
