card,date,real_users
NVIDIA GeForce RTX 3050 Laptop GPU,2021-08-01,35892
NVIDIA GeForce RTX 3050 Laptop GPU,2021-09-01,64110
NVIDIA GeForce RTX 3050 Laptop GPU,2021-10-01,73057
NVIDIA GeForce RTX 3050 Laptop GPU,2021-11-01,93810
NVIDIA GeForce RTX 3050 Laptop GPU,2021-12-01,92435
NVIDIA GeForce RTX 3050 Laptop GPU,2022-01-01,110727
NVIDIA GeForce RTX 3050 Laptop GPU,2022-02-01,122688
NVIDIA GeForce RTX 3050 Laptop GPU,2022-03-01,117741
NVIDIA GeForce RTX 3050 Laptop GPU,2022-04-01,141432
NVIDIA GeForce RTX 3050 Laptop GPU,2022-05-01,140623
NVIDIA GeForce RTX 3050 Laptop GPU,2022-06-01,143788
NVIDIA GeForce RTX 3050 Laptop GPU,2022-07-01,147805
NVIDIA GeForce RTX 3050 Laptop GPU,2022-08-01,157150
NVIDIA GeForce RTX 3050 Laptop GPU,2022-09-01,194777
NVIDIA GeForce RTX 3050 Laptop GPU,2022-10-01,184115
NVIDIA GeForce RTX 3050 Laptop GPU,2022-11-01,251657
NVIDIA GeForce RTX 3050 Laptop GPU,2022-12-01,220247
NVIDIA GeForce RTX 3050 Laptop GPU,2023-01-01,262012
NVIDIA GeForce RTX 3050 Laptop GPU,2023-02-01,268427
